"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-024091","002097167433 Entregado","1","02-02-21","00209 - IBI","02654 - MADRID 28033","00209 - IBI","ECOM","INELBO, SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136659"
"PP-21-024109","00220A005674 Entregado","2","04-02-21","00220 - ALACANT 03007","02651 - LAS ROZAS","00220 - ALACANT 03007","U19","Mª FERNANDA GALLEGO ARIAS","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136677"
"PP-21-024123","007223411516 Pendiente: RecogidaFinalizada, ,","1","01-02-21","00722 - BILBAO 48008","02665 - NAVALCARNERO","02665 - NAVALCARNERO","U19E","ACTURUS CAPITAL,S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","16-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136691"
"PP-21-024127","043085483046 Entregado","1","04-02-21","04308 - ALDAIA","00900 - CACERES","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136695"
"PP-21-024128","043085265686 Entregado","1","04-02-21","04308 - ALDAIA","00900 - CACERES","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136696"
"PP-21-024131","043085264564 Entregado","1","04-02-21","04308 - ALDAIA","01801 - AZUQUECA DE HENARES","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136699"
"PP-21-024132","043085264688 Pendiente: TransitoInternoEntrega, ,","1","04-02-21","04308 - ALDAIA","01802 - MONDEJAR","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136700"
"PP-21-024135","08007A005350 Extraviado(Criterio temporal)","1","18-01-21","08007 - TORRES VEDRAS","02614 - MADRID 28043","02614 - MADRID 28043","U19E","SPB IBERICA SERVICIOS TECNICOS SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","08-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136703"
"PP-21-024139","043085482738 Pendiente: EntregaPendiente, OE0062, Depositado en Franquici","2","03-02-21","04308 - ALDAIA","02630 - MADRID 28030","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Respuesta info recibida","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","09-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136707"
"PP-21-024150","013040321129 Extraviado(Criterio temporal)","1","25-01-21","01304 - MONTILLA","02606 - ARGANDA","01304 - MONTILLA","ECOM","PROMOFARMA ECOM, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","08-02-21","10-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/136718"
