"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-019547","080052194443 Extraviado(Criterio temporal)","1","11-01-21","08005 - CARNAXIDE (OEIRAS)","02650 - SAN SEBASTIAN DE LOS REYES","02650 - SAN SEBASTIAN DE LOS REYES","U19E","LAZARUS TECHNOLOGY S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132115"
"PP-21-019549","022052940403 Entregado","1","23-01-21","02205 - LEON 24009","02647 - MADRID 28042","02205 - LEON 24009","ECOM","CONFECCIONES MAYTON SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132117"
"PP-21-019550","02711A003548 Entregado","1","18-01-21","02711 - ESTEPONA","02637 - ARANJUEZ","02711 - ESTEPONA","U19","","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132118"
"PP-21-019557","01008A003757 Entregado","1","18-01-21","01008 - CHICLANA DE LA FRONT","02646 - VILLAVICIOSA DE ODON","01008 - CHICLANA DE LA FRONT","UBAG19","MANUEL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132125"
"PP-21-019558","01008A003649 Extraviado(Criterio temporal)","1","15-01-21","01008 - CHICLANA DE LA FRONT","02614 - MADRID 28043","01008 - CHICLANA DE LA FRONT","U19E","PRIMITIVO COLLANTES, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132126"
"PP-21-019560","010082052995 Entregado","2","12-01-21","01008 - CHICLANA DE LA FRONT","02621 - MADRID 28010","01008 - CHICLANA DE LA FRONT","U19","PURE FITNESS CONCEPT IBERIA, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132128"
"PP-21-020180","05002A001373 Pendiente: EntregaFinalizada, ,","1","18-12-20","05002 - PUERTO DE LA CRUZ","Internacional Madrid","05002 - PUERTO DE LA CRUZ","PAC","","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132748"
"PP-21-020182","024034474127 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","15-01-21","02403 - LOGROÑO 26003","02665 - NAVALCARNERO","02403 - LOGROÑO 26003","U19E","TUC TUC INTERNATIONAL 2020 SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132750"
"PP-21-020184","044002352689 Entregado","1","15-01-21","04400 - VALLADOLID 47012","02621 - MADRID 28010","04400 - VALLADOLID 47012","U19E","SUMINISTROS SEHICA S.L","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132752"
"PP-21-020189","040123778953 Entregado","1","20-01-21","04012 - TARRAGONA 43006","02656 - MADRID 28035","04012 - TARRAGONA 43006","ECOM","ZARA HOME ESPAÑA,S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132757"
