"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-013089","03605A004300 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","03605 - CASTRO URDIALES","02638 - MADRID 28029","02638 - MADRID 28029","ECRE","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125657"
"PP-21-013090","03605A004301 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","03605 - CASTRO URDIALES","02638 - MADRID 28029","02638 - MADRID 28029","ECRE","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125658"
"PP-21-013091","01010A002929 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","01010 - SANLUCAR DE BARRAMEDA","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125659"
"PP-21-013092","03830A003942 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","03830 - SEVILLA 41015","02638 - MADRID 28029","02638 - MADRID 28029","ECRE","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125660"
"PP-21-013093","04321A004867 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","04321 - VALENCIA 46005","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125661"
"PP-21-013094","02701A004746 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","02701 - MARBELLA","02638 - MADRID 28029","02638 - MADRID 28029","ECRE","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125662"
"PP-21-013095","00309A002788 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","00309 - HUERCAL DE ALMERIA","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125663"
"PP-21-013096","03801A007095 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","03801 - ESTEPA","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125664"
"PP-21-013097","02802A005140 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","02802 - LORCA","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125665"
"PP-21-013098","04400A006812 Pendiente: TransitoInternoEntrega, ,","1","13-01-21","04400 - VALLADOLID 47012","02638 - MADRID 28029","02638 - MADRID 28029","ECRE","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","21-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/125666"
