"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-002296","010034113886 Devuelto a remitente","1","30-12-20","01003 - JEREZ DE LA FRONTERA","01800 - GUADALAJARA","01003 - JEREZ DE LA FRONTERA","U19E","BLADEFAR, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114864"
"PP-21-002300","022084620017 Entregado","1","30-12-20","02208 - LEON 24007","00902 - NAVALMORAL MATA","02208 - LEON 24007","U19E","MI TIENDA DE ARTE Y MANUAL.S.L","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","14-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114868"
"PP-21-002301","016132965567 Pendiente: TransitoInternoEntrega, ,","1","30-12-20","01613 - SARRIA DE TER","02660 - LEGANES","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114869"
"PP-21-002309","042004177814 Pendiente: EntregaPendiente, ,","1","05-01-21","04200 - TOLEDO","04204 - ILLESCAS","04200 - TOLEDO","ECOM","MEDIA MARKT TOLEDO (E284)","Pérdida","Respuesta info recibida","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114877"
"PP-21-002324","022053272843 Entregado","1","30-12-20","02205 - LEON 24009","02612 - MADRID 28034","02205 - LEON 24009","U19E","eCommProjects Internet S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","14-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114892"
"PP-21-002348","023005266369 Pendiente: TransitoInternoEntrega, ,","1","29-12-20","02300 - LLEIDA 25001","04209 - TALAVERA REINA","02300 - LLEIDA 25001","U19E","LEDS C4 S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114916"
"PP-21-002398","026129779590 Entregado","1","31-12-20","02612 - MADRID 28034","00902 - NAVALMORAL MATA","02612 - MADRID 28034","UBAG19","MOBILE DEVELOPMENT CONSULTANCY SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114966"
"PP-21-002402","01613A003485 Pendiente: TransitoInternoEntrega, ,","1","28-12-20","01613 - SARRIA DE TER","02680 - LOGÍSTICA MADRID","02680 - LOGÍSTICA MADRID","ECOM","PACKETA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114970"
"PP-21-002404","01613A003484 Pendiente: TransitoInternoEntrega, OT0700, Envío pasa por pl","1","28-12-20","01613 - SARRIA DE TER","02680 - LOGÍSTICA MADRID","02680 - LOGÍSTICA MADRID","U19","HOFMANN S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114972"
"PP-21-002406","044051298125 Entregado","1","04-01-21","04405 - VALLADOLID 47009","00902 - NAVALMORAL MATA","04405 - VALLADOLID 47009","U19E","QUINTA VISIÓN, S.L.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114974"
"PP-21-002422","01613A003453 Pendiente: TransitoInternoEntrega, ,","1","28-12-20","01613 - SARRIA DE TER","02680 - LOGÍSTICA MADRID","02680 - LOGÍSTICA MADRID","ECOM","PACKETA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","07-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/114990"
