"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-20-078442","038063320328 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","02627 - MADRID 28006","03806 - ALCALA GUADAIRA","ECOM","PC LOGISTIC","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108427"
"PP-20-078466","003082621865 Extraviado(Criterio temporal)","1","16-12-20","00308 - EL PARADOR, ROQUETAS","02655 - MADRID 28023","00308 - EL PARADOR, ROQUETAS","ECOM","AGROBIO S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108451"
"PP-20-078495","04308A005682 Reexpedido","1","18-12-20","04308 - ALDAIA","01800 - GUADALAJARA","04308 - ALDAIA","ECOM","AUTOSOLAR ENERGY SOLUTION, SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108480"
"PP-20-078500","026415343620 Entregado","1","22-12-20","02641 - MADRID 28050","04200 - TOLEDO","02641 - MADRID 28050","U19E","EL CORTE INGLES SA","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108485"
"PP-20-078515","01202A002405 Entregado","1","22-12-20","01202 - VALDEPEÑAS","04200 - TOLEDO","01202 - VALDEPEÑAS","U14","ANTONIO CABRERA GALLEGO","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108500"
"PP-20-078520","026340038957 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","23-12-20","02634 - COLLADO-VILLALBA","04209 - TALAVERA REINA","02634 - COLLADO-VILLALBA","U19E","ROBERTO PUADO LOPEZ","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108505"
"PP-20-078525","02657A003888 Extraviado(Criterio temporal)","2","17-12-20","02657 - MADRID 28022","02633 - MADRID 28027","02657 - MADRID 28022","ECOM","ESTEE LAUDER SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108510"
"PP-20-078527","038006827695 Extraviado(Criterio temporal)","1","15-12-20","03800 - DOS HERMANAS","02630 - MADRID 28030","03800 - DOS HERMANAS","U19E","WEARIT, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108512"
"PP-20-078534","030113086044 Borrado","1","21-12-20","03011 - GIJON 33202","02651 - LAS ROZAS","03011 - GIJON 33202","UBAG19","STUDIO 16","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108519"
"PP-20-078539","00903A001631 Extraviado(Criterio temporal)","1","16-12-20","00903 - CORIA","02661 - RIVAS VACIAMADRID","00903 - CORIA","U19E","JOSE LUIS","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108524"
"PP-20-078546","043076921077 Extraviado(Criterio temporal)","1","18-12-20","04307 - PATERNA","02614 - MADRID 28043","04307 - PATERNA","ECOM","ROIGAR INSTITUTO, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108531"
