"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-20-074089","027082056642 Visto por ultima vez en el bolsillo de Javier","2","10-12-20","02708 - COIN","00902 - NAVALMORAL MATA","02708 - COIN","U19E","ANDRES JESUS BONILLA RUEDA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104074"
"PP-20-074090","03824A002880 Solo estado 17. Sin traza TTM.","1","14-12-20","03824 - SEVILLA 41020","02670 - MADRID 28037","02670 - MADRID 28037","U19E","EL CORTE INGLES SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104075"
"PP-20-074093","027082057774 Entregado","2","16-12-20","02708 - COIN","02612 - MADRID 28034","02708 - COIN","U19E","ANDRES JESUS BONILLA RUEDA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104078"
"PP-20-074136","024004787532 Entregado","2","15-12-20","02400 - AGONCILLO (WURTH)","03700 - SEGOVIA","02400 - AGONCILLO (WURTH)","U19E","WURTH ESPAÑA S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","22-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104121"
"PP-20-074144","024004784303 Entregado","3","15-12-20","02400 - AGONCILLO (WURTH)","02614 - MADRID 28043","02400 - AGONCILLO (WURTH)","U19E","WURTH ESPAÑA S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","22-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104129"
"PP-20-074152","032090966662 Extraviado(Criterio temporal)","1","10-12-20","03209 - PAMPLONA 31011","02612 - MADRID 28034","03209 - PAMPLONA 31011","U19","BIDASOA GOURMET S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104137"
"PP-20-074157","030160137059 Extraviado(Criterio temporal)","1","09-12-20","03016 - GIJÓN 33207","02659 - VALDEMORO","02614 - MADRID 28043","U19E","SPB IBERICA SERVICIOS TECNICOS SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104142"
"PP-20-074158","030160137954 Devuelto a remitente","1","10-12-20","03016 - GIJÓN 33207","02646 - VILLAVICIOSA DE ODON","03016 - GIJÓN 33207","U19","LOVELYBIKES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","20-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104143"
"PP-20-074166","026202740425 Extraviado(Criterio temporal)","1","15-12-20","02620 - MADRID 28015","02638 - MADRID 28029","02620 - MADRID 28015","ECOM","FURRIMER HDH SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","21-12-20","22-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104151"
"PP-20-074199","010034098291 Pendiente: TransitoInternoEntrega, ,","1","09-12-20","01003 - JEREZ DE LA FRONTERA","02627 - MADRID 28006","01003 - JEREZ DE LA FRONTERA","U19E","BLADEFAR, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","0 / 1","21-12-20","","","https://wilsonapp.tech/frontend/partes_perdida/edit/104184"
"PP-20-074247","026038938346 Extraviado(Criterio temporal)","1","14-12-20","02603 - ALCOBENDAS","04200 - TOLEDO","02603 - ALCOBENDAS","ECOM","PLACEMATFAB SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","21-12-20","21-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/104232"
