"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-000006","01719A005625 Extraviado(Criterio temporal)","1","28-12-20","01719 - OGIJARES","02663 - MOSTOLES 28933","02663 - MOSTOLES 28933","U19","BODEGAS H. MARQUES DE RISCAL, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112574"
"PP-21-000019","026604273248 Entregado","1","29-12-20","02660 - LEGANES","00902 - NAVALMORAL MATA","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112587"
"PP-21-000037","026604274567 Entregado","1","29-12-20","02660 - LEGANES","02665 - NAVALCARNERO","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112605"
"PP-21-000164","022084618180 Extraviado(Criterio temporal)","1","28-12-20","02208 - LEON 24007","01802 - MONDEJAR","02208 - LEON 24007","U19E","MI TIENDA DE ARTE Y MANUAL.S.L","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112732"
"PP-21-000196","01613A003097 Entregado","1","21-12-20","01613 - SARRIA DE TER","02686 - LOGISTICA BUROFAX","02686 - LOGISTICA BUROFAX","DEVBURO","LONGITUD 3M S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112764"
"PP-21-000220","016132939280 Extraviado(Criterio temporal)","1","21-12-20","01613 - SARRIA DE TER","02606 - ARGANDA","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112788"
"PP-21-000240","026340039507 Entregado","1","28-12-20","02634 - COLLADO-VILLALBA","02646 - VILLAVICIOSA DE ODON","02634 - COLLADO-VILLALBA","U19","MYBA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112808"
"PP-21-000268","016132944501 Entregado","1","22-12-20","01613 - SARRIA DE TER","02602 - TORREJON DE ARDOZ","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112836"
"PP-21-000277","03812A005041 Entregado","1","22-12-20","03812 - CAMAS","04209 - TALAVERA REINA","03812 - CAMAS","U19E","SOLAIN S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","28-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112845"
"PP-21-000295","016132943213 Extraviado(Criterio temporal)","1","22-12-20","01613 - SARRIA DE TER","02638 - MADRID 28029","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","07-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112863"
"PP-21-000296","016132943104 Entregado","1","22-12-20","01613 - SARRIA DE TER","02622 - MADRID 28003","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","02-01-21","05-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/112864"
