"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-019048","016070422254 Entregado","1","11-01-21","01607 - SANTA COLOMA DE FARNERS","02614 - MADRID 28043","01607 - SANTA COLOMA DE FARNERS","ECOM","KAVE HOME  S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131616"
"PP-21-019052","002097162799 Entregado","1","19-01-21","00209 - IBI","02646 - VILLAVICIOSA DE ODON","00209 - IBI","ECOM","EVA MARIA MARTORELL POZO","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131620"
"PP-21-019053","008001840756 Extraviado(Criterio temporal)","1","07-01-21","00800 - BURGOS","04200 - TOLEDO","00800 - BURGOS","U19","VT BATTERIES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131621"
"PP-21-019055","027081308001 Entregado","1","11-01-21","02708 - COIN","02607 - MAJADAHONDA","02708 - COIN","ECOM","MARKETINNOVA CONSULTORES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131623"
"PP-21-019056","027081307956 Entregado","1","11-01-21","02708 - COIN","01501 - TARANCON","02708 - COIN","ECOM","SEBASTIAN GARRIDO GONZALEZ","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131624"
"PP-21-019058","02708R003540 Entregado","1","12-01-21","02708 - COIN","01801 - AZUQUECA DE HENARES","02708 - COIN","ECOM","GOMEZ Y MAGALLANES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131626"
"PP-21-019063","025032080297 Pendiente: TransitoInternoEntrega, ,","1","19-01-21","02503 - MONFORTE DE LEMOS","02636 - FUENLABRADA","02503 - MONFORTE DE LEMOS","ECOM","CHUZOS SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131631"
"PP-21-019064","025032080295 Entregado","1","19-01-21","02503 - MONFORTE DE LEMOS","02636 - FUENLABRADA","02503 - MONFORTE DE LEMOS","ECOM","CHUZOS SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131632"
"PP-21-019065","027005341358 Entregado","1","18-01-21","02700 - MALAGA 29006","02636 - FUENLABRADA","02700 - MALAGA 29006","ECOM","KRONOTECH SOLUTIONS, SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131633"
"PP-21-019066","027007611780 Entregado","1","20-01-21","02700 - MALAGA 29006","02665 - NAVALCARNERO","02700 - MALAGA 29006","ECOM","MAYORAL MODA INFANTIL S.A.U.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131634"
"PP-21-019067","02601A009707 Extraviado(Criterio temporal)","1","08-01-21","02601 - GETAFE 28906","02602 - TORREJON DE ARDOZ","02602 - TORREJON DE ARDOZ","ECOM","THE SERVICE GROUP PROCEDO","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131635"
"PP-21-019072","010070528882 Extraviado(Criterio temporal)","1","11-01-21","01007 - SAN FERNANDO","02661 - RIVAS VACIAMADRID","01007 - SAN FERNANDO","U19E","LUVE SPORT DISTRIBUCION SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131640"
"PP-21-019073","03209A009529 Entregado","1","21-01-21","03209 - PAMPLONA 31011","02657 - MADRID 28022","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131641"
"PP-21-019074","032090973622 Entregado","1","12-01-21","03209 - PAMPLONA 31011","02659 - VALDEMORO","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131642"
"PP-21-019075","032090974293 Extraviado(Criterio temporal)","1","13-01-21","03209 - PAMPLONA 31011","02673 - ALCALA HENARES 28802","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131643"
"PP-21-019076","032090974309 Extraviado(Criterio temporal)","1","13-01-21","03209 - PAMPLONA 31011","04204 - ILLESCAS","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131644"
"PP-21-019077","032090973862 Extraviado(Criterio temporal)","1","12-01-21","03209 - PAMPLONA 31011","02673 - ALCALA HENARES 28802","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","01-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131645"
"PP-21-019078","032090975218 Entregado","1","18-01-21","03209 - PAMPLONA 31011","02647 - MADRID 28042","03209 - PAMPLONA 31011","U19","X CONTROLLERS ONLINE S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131646"
"PP-21-019079","026634163678 Entregado","1","18-01-21","02663 - MOSTOLES 28933","02621 - MADRID 28010","02663 - MOSTOLES 28933","U19","COMERCIAL CIRVA SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","26-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131647"
"PP-21-019084","011002486403 Entregado","1","22-01-21","01100 - CASTELLO 12006","02665 - NAVALCARNERO","01100 - CASTELLO 12006","U19E","INTERNACIONAL VENTUR SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","02-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131652"
"PP-21-019085","011002486320 Entregado","1","22-01-21","01100 - CASTELLO 12006","02630 - MADRID 28030","01100 - CASTELLO 12006","U19E","INTERNACIONAL VENTUR SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131653"
"PP-21-019087","079002138630 Entregado","1","20-01-21","07900 - LEIRIA","02648 - PINTO","07900 - LEIRIA","U19E","FUN DISPLAY LDA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131655"
"PP-21-019089","04701A003342 Entregado","1","22-01-21","04701 - EJEA DE LOS CABALLEROS","04209 - TALAVERA REINA","04701 - EJEA DE LOS CABALLEROS","U19","TENIAS S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131657"
"PP-21-019090","04701A003336 Entregado","1","22-01-21","04701 - EJEA DE LOS CABALLEROS","04200 - TOLEDO","04701 - EJEA DE LOS CABALLEROS","U19","TENIAS S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131658"
"PP-21-019092","043083993433 Entregado","1","25-01-21","04308 - ALDAIA","00900 - CACERES","04308 - ALDAIA","ECOM","AUTOSOLAR ENERGY SOLUTION, SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131660"
"PP-21-019093","002212334487 Entregado","1","13-01-21","00221 - ELX/ELCHE (PARQUE EMPRESARIAL) 03203","02670 - MADRID 28037","00221 - ELX/ELCHE (PARQUE EMPRESARIAL) 03203","U19E","LABAQUA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131661"
"PP-21-019107","043083040354 Entregado","1","25-01-21","04308 - ALDAIA","02637 - ARANJUEZ","04308 - ALDAIA","ECOM","RECAMBIOS CAMION MCP SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131675"
"PP-21-019108","043083040129 Entregado","1","25-01-21","04308 - ALDAIA","02636 - FUENLABRADA","04308 - ALDAIA","ECOM","RECAMBIOS CAMION MCP SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","27-01-21","03-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/131676"
